id_kaggle,team_kaggle,team_kenpom,team_538,id_538,team_massey
1101,Abilene Chr,Abilene Christian,Abilene Christian,2000,Abilene Chr
1102,Air Force,Air Force,,,Air Force
1103,Akron,Akron,,,Akron
1104,Alabama,Alabama,Alabama,333,Alabama
1105,Alabama A&M,Alabama A&M,,,Alabama A&M
1106,Alabama St,Alabama St.,,,Alabama St
1107,SUNY Albany,Albany,,,SUNY Albany
1108,Alcorn St,Alcorn St.,,,Alcorn St
1109,Alliant Intl,,,,
1110,American Univ,American,,,American Univ
1111,Appalachian St,Appalachian St.,Appalachian State,2026,Appalachian St
1112,Arizona,Arizona,,,Arizona
1113,Arizona St,Arizona St.,,,Arizona St
1114,Ark Little Rock,Little Rock,,,Ark Little Rock
1114,Ark Little Rock,Arkansas Little Rock,,,Ark Little Rock
1115,Ark Pine Bluff,Arkansas Pine Bluff,,,Ark Pine Bluff
1116,Arkansas,Arkansas,Arkansas,8,Arkansas
1117,Arkansas St,Arkansas St.,,,Arkansas St
1118,Armstrong St,,,,
1119,Army,Army,,,Army
1120,Auburn,Auburn,,,Auburn
1121,Augusta,,,,
1122,Austin Peay,Austin Peay,,,Austin Peay
1123,Ball St,Ball St.,,,Ball St
1124,Baylor,Baylor,Baylor,239,Baylor
1125,Belmont,Belmont,,,Belmont
1126,Bethune-Cookman,Bethune Cookman,,,
1127,Binghamton,Binghamton,,,Binghamton
1128,Birmingham So,Birmingham Southern,,,
1129,Boise St,Boise St.,,,Boise St
1130,Boston College,Boston College,,,Boston College
1131,Boston Univ,Boston University,,,Boston Univ
1132,Bowling Green,Bowling Green,,,Bowling Green
1133,Bradley,Bradley,,,Bradley
1134,Brooklyn,,,,
1135,Brown,Brown,,,Brown
1136,Bryant,Bryant,,,Bryant
1137,Bucknell,Bucknell,,,Bucknell
1138,Buffalo,Buffalo,,,Buffalo
1139,Butler,Butler,,,Butler
1140,BYU,BYU,Brigham Young,252,BYU
1141,C Michigan,Central Michigan,,,C Michigan
1142,Cal Poly,Cal Poly,,,Cal Poly
1143,California,California,,,California
1144,Campbell,Campbell,,,Campbell
1145,Canisius,Canisius,,,Canisius
1146,Cent Arkansas,Central Arkansas,,,Cent Arkansas
1147,Centenary,Centenary,,,
1148,Central Conn,Central Connecticut,,,Central Conn
1149,Charleston So,Charleston Southern,,,Charleston So
1150,Charlotte,Charlotte,,,Charlotte
1151,Chattanooga,Chattanooga,,,Chattanooga
1152,Chicago St,Chicago St.,,,Chicago St
1153,Cincinnati,Cincinnati,,,Cincinnati
1154,Citadel,The Citadel,,,Citadel
1155,Clemson,Clemson,Clemson,228,Clemson
1156,Cleveland St,Cleveland St.,Cleveland State,325,Cleveland St
1157,Coastal Car,Coastal Carolina,,,Coastal Car
1158,Col Charleston,College of Charleston,,,Col Charleston
1159,Colgate,Colgate,Colgate,2142,Colgate
1160,Colorado,Colorado,Colorado,38,Colorado
1161,Colorado St,Colorado St.,,,Colorado St
1162,Columbia,Columbia,,,Columbia
1163,Connecticut,Connecticut,Connecticut,41,Connecticut
1164,Coppin St,Coppin St.,,,Coppin St
1165,Cornell,Cornell,,,Cornell
1166,Creighton,Creighton,Creighton,156,Creighton
1167,CS Bakersfield,Cal St. Bakersfield,,,CS Bakersfield
1168,CS Fullerton,Cal St. Fullerton,,,CS Fullerton
1169,CS Northridge,Cal St. Northridge,,,CS Northridge
1170,CS Sacramento,Sacramento St.,,,CS Sacramento
1171,Dartmouth,Dartmouth,,,Dartmouth
1172,Davidson,Davidson,,,Davidson
1173,Dayton,Dayton,,,Dayton
1174,Delaware,Delaware,,,Delaware
1175,Delaware St,Delaware St.,,,Delaware St
1176,Denver,Denver,,,Denver
1177,DePaul,DePaul,,,DePaul
1178,Detroit,Detroit,,,Detroit
1179,Drake,Drake,Drake,2181,Drake
1180,Drexel,Drexel,Drexel,2182,Drexel
1181,Duke,Duke,,,Duke
1182,Duquesne,Duquesne,,,Duquesne
1183,E Illinois,Eastern Illinois,,,E Illinois
1184,E Kentucky,Eastern Kentucky,,,E Kentucky
1185,E Michigan,Eastern Michigan,,,E Michigan
1186,E Washington,Eastern Washington,Eastern Washington,331,E Washington
1187,East Carolina,East Carolina,,,East Carolina
1188,SIUE,SIU Edwardsville,,,SIUE
1189,Elon,Elon,,,Elon
1190,ETSU,East Tennessee St.,,,ETSU
1191,Evansville,Evansville,,,Evansville
1192,F Dickinson,Fairleigh Dickinson,,,F Dickinson
1193,Fairfield,Fairfield,,,Fairfield
1194,FL Atlantic,Florida Atlantic,,,FL Atlantic
1195,FL Gulf Coast,Florida Gulf Coast,,,FL Gulf Coast
1196,Florida,Florida,Florida,57,Florida
1197,Florida A&M,Florida A&M,,,Florida A&M
1198,Florida Intl,FIU,,,Florida Intl
1199,Florida St,Florida St.,Florida State,52,Florida St
1200,Fordham,Fordham,,,Fordham
1201,Fresno St,Fresno St.,,,Fresno St
1202,Furman,Furman,,,Furman
1203,G Washington,George Washington,,,G Washington
1204,Ga Southern,Georgia Southern,,,Ga 
1205,Gardner Webb,Gardner Webb,,,Gardner Webb
1206,George Mason,George Mason,,,George Mason
1207,Georgetown,Georgetown,Georgetown,46,Georgetown
1208,Georgia,Georgia,,,Georgia
1209,Georgia St,Georgia St.,,,Georgia St
1210,Georgia Tech,Georgia Tech,Georgia Tech,59,Georgia Tech
1211,Gonzaga,Gonzaga,Gonzaga,2250,Gonzaga
1212,Grambling,Grambling St.,,,Grambling
1213,Grand Canyon,Grand Canyon,Grand Canyon,2253,Grand Canyon
1214,Hampton,Hampton,,,Hampton
1215,Hardin-Simmons,,,,
1216,Hartford,Hartford,Hartford,42,Hartford
1217,Harvard,Harvard,,,Harvard
1218,Hawaii,Hawaii,,,Hawaii
1219,High Point,High Point,,,High Point
1220,Hofstra,Hofstra,,,Hofstra
1221,Holy Cross,Holy Cross,,,Holy Cross
1222,Houston,Houston,Houston,248,Houston
1223,Houston Bap,Houston Baptist,,,Houston Bap
1224,Howard,Howard,,,Howard
1225,Idaho,Idaho,,,Idaho
1226,Idaho St,Idaho St.,,,Idaho St
1227,IL Chicago,Illinois Chicago,,,IL Chicago
1228,Illinois,Illinois,Illinois,356,Illinois
1229,Illinois St,Illinois St.,,,Illinois St
1230,Incarnate Word,Incarnate Word,,,Incarnate Word
1231,Indiana,Indiana,,,Indiana
1232,Indiana St,Indiana St.,,,Indiana St
1233,Iona,Iona,Iona,314,Iona
1234,Iowa,Iowa,Iowa,2294,Iowa
1235,Iowa St,Iowa St.,,,Iowa St
1236,PFW,IPFW,,,PFW
1236,PFW,Purdue Fort Wayne,,,PFW
1236,PFW,Fort Wayne,,,PFW
1237,IUPUI,IUPUI,,,IUPUI
1238,Jackson St,Jackson St.,,,Jackson St
1239,Jacksonville,Jacksonville,,,Jacksonville
1240,Jacksonville St,Jacksonville St.,,,Jacksonville St
1241,James Madison,James Madison,,,James Madison
1242,Kansas,Kansas,Kansas,2305,Kansas
1243,Kansas St,Kansas St.,,,Kansas St
1244,Kennesaw,Kennesaw St.,,,Kennesaw
1245,Kent,Kent St.,,,Kent
1246,Kentucky,Kentucky,,,Kentucky
1247,La Salle,La Salle,,,La Salle
1248,Lafayette,Lafayette,,,Lafayette
1249,Lamar,Lamar,,,Lamar
1250,Lehigh,Lehigh,,,Lehigh
1251,Liberty,Liberty,Liberty,2335,Liberty
1252,Lipscomb,Lipscomb,,,Lipscomb
1253,Long Beach St,Long Beach St.,,,Long Beach St
1254,LIU Brooklyn,LIU Brooklyn,,,LIU Brooklyn
1255,Longwood,Longwood,,,Longwood
1256,Louisiana Tech,Louisiana Tech,,,Louisiana Tech
1257,Louisville,Louisville,,,Louisville
1258,Loy Marymount,Loyola Marymount,,,Loy Marymount
1259,Loyola MD,Loyola MD,,,Loyola MD
1260,Loyola-Chicago,Loyola Chicago,Loyola (IL),2350,Loyola-Chicago
1261,LSU,LSU,Louisiana State,99,LSU
1262,MA Lowell,UMass Lowell,,,MA Lowell
1263,Maine,Maine,,,Maine
1264,Manhattan,Manhattan,,,Manhattan
1265,Marist,Marist,,,Marist
1266,Marquette,Marquette,,,Marquette
1267,Marshall,Marshall,,,Marshall
1268,Maryland,Maryland,Maryland,120,Maryland
1269,Massachusetts,Massachusetts,,,Massachusetts
1270,McNeese St,McNeese St.,,,McNeese St
1271,MD E Shore,Maryland Eastern Shore,,,
1272,Memphis,Memphis,,,Memphis
1273,Mercer,Mercer,,,Mercer
1274,Miami FL,Miami FL,,,Miami FL
1275,Miami OH,Miami OH,,,Miami OH
1276,Michigan,Michigan,Michigan,130,Michigan
1277,Michigan St,Michigan St.,Michigan State,127,Michigan St
1278,Minnesota,Minnesota,,,Minnesota
1279,Mississippi,Mississippi,,,Mississippi
1280,Mississippi St,Mississippi St.,,,Mississippi St
1281,Missouri,Missouri,Missouri,142,Missouri
1282,Missouri KC,UMKC,,,Missouri KC
1283,Missouri St,Missouri St.,,,Missouri St
1283,Missouri St,Southwest Missouri St.,,,Missouri St
1283,Missouri St,Missouri State,,,Missouri St
1284,Monmouth NJ,Monmouth,,,Monmouth NJ
1285,Montana,Montana,,,Montana
1286,Montana St,Montana St.,,,Montana St
1287,Morehead St,Morehead St.,Morehead State,2413,Morehead St
1288,Morgan St,Morgan St.,,,Morgan St
1289,Morris Brown,Morris Brown,,,
1290,MS Valley St,Mississippi Valley St.,,,MS Valley St
1291,Mt St Mary's,Mount St. Marys,Mount St. Mary's,116,Mt St Mary's
1292,MTSU,Middle Tennessee St.,,,MTSU
1292,MTSU,Middle Tennessee,,,MTSU
1293,Murray St,Murray St.,,,Murray St
1294,N Colorado,Northern Colorado,,,N Colorado
1295,N Dakota St,North Dakota St.,,,N Dakota St
1296,N Illinois,Northern Illinois,,,N Illinois
1297,N Kentucky,Northern Kentucky,,,N Kentucky
1298,Navy,Navy,,,Navy
1299,NC A&T,North Carolina A&T,,,NC A&T
1300,NC Central,North Carolina Central,,,NC Central
1301,NC State,N.C. State,,,NC State
1302,NE Illinois,,,,NE Illinois
1303,NE Omaha,Nebraska Omaha,,,NE Omaha
1304,Nebraska,Nebraska,,,Nebraska
1305,Nevada,Nevada,,,Nevada
1306,New Hampshire,New Hampshire,,,New Hampshire
