gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,3/22/21,0,1,1,1,0.798894203,0.621754117,0.464642498,0.31833208,3,1,2250,Gonzaga,96.71,West,1,0
mens,3/22/21,0,1,1,1,0.757145447,0.600660007,0.408825862,0.213599711,3,1,239,Baylor,94.23,South,1,96
mens,3/22/21,0,1,1,1,0.701542819,0.450400764,0.212853574,0.090450521,3,1,248,Houston,90.89,Midwest,2,92
mens,3/22/21,0,1,1,1,0.637716575,0.33591477,0.12253874,0.060881332,3,1,333,Alabama,90.18,East,2,60
mens,3/22/21,0,1,1,1,0.604553642,0.1788247,0.096457793,0.047315014,3,1,30,Southern California,89.82,West,6,16
mens,3/22/21,0,1,1,1,0.525710456,0.275143869,0.09638988,0.046473319,3,1,130,Michigan,89.52,East,1,32
mens,3/22/21,0,1,1,1,0.692071465,0.313235297,0.124904214,0.04490999,3,1,2350,Loyola (IL),88.6,Midwest,8,68
mens,3/22/21,0,1,1,1,0.474289544,0.238670217,0.079906256,0.037242005,3,1,52,Florida State,88.93,East,4,44
mens,3/22/21,0,1,1,1,0.875696356,0.242219721,0.107422675,0.033971776,3,1,8,Arkansas,87.57,South,3,116
mens,3/22/21,0,1,1,1,0.201105797,0.10708796,0.055095727,0.025832461,3,1,156,Creighton,88.85,West,5,8
mens,3/22/21,0,1,1,1,0.242854553,0.148208165,0.071329859,0.024665463,3,1,222,Villanova,87.75,South,5,104
mens,3/22/21,0,1,1,1,0.395446358,0.092333223,0.042645194,0.018066792,3,1,2483,Oregon,87.39,West,7,24
mens,3/22/21,1,1,1,1,0.362283425,0.150271144,0.042323913,0.017291464,3,1,26,UCLA,86.95,East,11b,51
mens,3/22/21,0,1,1,1,0.298457181,0.142563512,0.047506571,0.014343366,3,1,183,Syracuse,86.02,Midwest,11,82
mens,3/22/21,0,1,1,1,0.307928535,0.093800427,0.025843247,0.006488969,3,1,204,Oregon State,83.98,Midwest,12,74
mens,3/22/21,0,1,1,1,0.124303644,0.008912107,0.001313996,0.000135738,3,1,198,Oral Roberts,76.43,South,15,126
mens,3/22/21,0,1,1,0,0,0,0,0,7,0,201,Oklahoma,81.98,West,8,4
mens,3/22/21,0,1,1,0,0,0,0,0,7,0,195,Ohio,79.18,West,13,14
mens,3/22/21,0,1,1,0,0,0,0,0,7,0,2305,Kansas,88.23,West,3,20
mens,3/22/21,0,1,1,0,0,0,0,0,7,0,2294,Iowa,90.92,West,2,28
mens,3/22/21,0,1,1,0,0,0,0,0,7,0,99,Louisiana State,86.3,East,8,36
