"team","rat","pwr","off","def","hfa","so_s","ssf","ew","el"
"Gonzaga",9.87,56.37,108.91,23.15,2.76,34.66,35.15,0.71,0.29
"Baylor",9.07,50.5,99.99,26.21,2.92,36.31,36.66,0.65,0.35
"Michigan",8.93,50.46,98.46,27.7,2.87,40.32,40.5,0.67,0.33
"Illinois",8.84,50.65,101.31,25.04,2.83,41.07,41.07,0,0
"Houston",8.81,51.59,96.22,31.07,2.98,33.5,33.84,0.77,0.23
"USC",8.63,49.36,97.44,27.62,2.82,39.63,40.14,0.29,0.71
"Iowa",8.6,48.59,103.87,20.41,2.94,39.72,39.72,0,0
"Alabama",8.52,47.83,100.86,22.66,2.87,39.54,39.54,0,0
"Ohio St",8.46,47.09,99.79,23,2.87,41.31,41.31,0,0
"Colorado",8.41,47.14,95.1,27.73,3.06,39.85,39.85,0,0
"Arkansas",8.38,45.92,98.29,23.32,2.97,36.13,36.58,0.35,0.65
"Oregon",8.33,45.08,96.94,23.84,2.79,39.43,39.43,0,0
"UCLA",8.29,45.41,96.09,25.02,2.9,40.43,40.75,0.33,0.67
"Kansas",8.23,44.64,94.57,25.77,2.96,39.09,39.09,0,0
"Villanova",8.22,45.94,95.23,26.41,2.96,38.64,38.64,0,0
"Loyola-Chicago",8.21,45.63,90.47,30.86,2.68,31.57,31.57,0,0
"Wisconsin",8.2,45.19,91.88,29,2.81,41.1,41.1,0,0
"Purdue",8.19,45.01,94.93,25.78,2.88,40.65,40.65,0,0
"BYU",8.17,44.43,97.08,23.05,2.82,36.46,36.46,0,0
"Florida St",8.16,45.02,96.99,23.72,2.99,37.87,37.87,0,0
"Texas Tech",8.16,45.69,92.87,28.51,2.88,37.03,37.03,0,0
"LSU",8.16,45.09,102.25,18.54,2.87,38.57,38.57,0,0
"Texas",8.15,44.09,95.31,24.48,2.74,38.9,38.9,0,0
"Creighton",8.12,44.43,95.36,24.76,2.95,38.27,38.27,0,0
"Oklahoma St",8.12,43.06,97.61,21.15,2.77,39.77,39.77,0,0
"Oregon St",8.07,43.98,93.86,25.82,2.48,38.57,38.97,0.23,0.77
"San Diego St",8.06,43.73,91.79,27.63,2.84,33.1,33.1,0,0
"Virginia",8.05,43.39,87.49,31.6,2.82,37.44,37.44,0,0
"West Virginia",8.05,43.83,98.03,21.5,2.77,39.62,39.62,0,0
"Arizona",8.05,44.06,96.23,23.53,2.75,37.99,37.99,0,0
"Connecticut",8.04,44.43,93,27.12,2.79,38.22,38.22,0,0
"North Carolina",8.04,44.31,97.26,22.74,2.83,39.01,39.01,0,0
"Tennessee",8.02,43.83,91.84,27.68,2.93,37.54,37.54,0,0
"Rutgers",8,42.61,91.57,26.73,2.85,41.44,41.44,0,0
"Memphis",7.99,45.03,93.83,26.89,2.76,34.75,34.75,0,0
"Maryland",7.98,43.62,92.24,27.07,2.76,39.69,39.69,0,0
"Syracuse",7.98,43.96,96.46,23.19,2.8,37.69,37.69,0,0
"Oklahoma",7.92,42.98,94.88,23.8,2.97,38.67,38.67,0,0
"Penn St",7.87,43.1,96.5,22.3,2.77,42.7,42.7,0,0
"Missouri",7.82,40.7,93.33,23.07,2.81,40.15,40.15,0,0
"Georgia Tech",7.82,41.59,94.7,22.59,2.81,37.1,37.1,0,0
"Michigan St",7.8,40.74,92.99,23.44,2.92,40.76,40.76,0,0
"St Bonaventure",7.8,41.81,90.39,27.12,2.95,34.08,34.08,0,0
"Florida",7.8,41.56,94.36,22.9,2.84,39.22,39.22,0,0
"Indiana",7.78,41.97,92.64,25.02,2.76,41.63,41.63,0,0
"Duke",7.77,43.82,97.31,22.21,2.65,37.43,37.43,0,0
"Clemson",7.77,39.59,86.91,28.37,2.98,38.62,38.62,0,0
"Louisville",7.72,40.34,90.51,25.53,2.92,38.12,38.12,0,0
"Utah St",7.7,42.59,91.07,27.22,2.91,32.65,32.65,0,0
"Virginia Tech",7.67,40.44,92.91,23.23,2.96,35.25,35.25,0,0
"Stanford",7.67,39.98,92.22,23.46,2.76,40.77,40.77,0,0
"Seton Hall",7.65,40.96,93.02,23.63,2.82,39.32,39.32,0,0
"Utah",7.64,40.74,95.21,21.23,2.88,39.5,39.5,0,0
"Boise St",7.63,40.5,94.47,21.72,2.83,33.29,33.29,0,0
"Drake",7.62,38.93,92.68,21.94,2.99,30.12,30.12,0,0
"Minnesota",7.62,40.01,94.33,21.37,2.96,40.5,40.5,0,0
